outcome,ym,ward,predicted,actual,residual,predicted_pct,actual_pct,residual_pct
I,202504,5F,0.17254808264641774,0.2264006139677667,-0.053852531321348956,17.254808264641774,22.64006139677667,-5.3852531321348955
I,202504,6F,0.15837488082183832,0.2149390243902439,-0.056564143568405584,15.837488082183832,21.49390243902439,-5.656414356840559
I,202505,5F,0.17438144932745867,0.21488871834228704,-0.04050726901482837,17.438144932745868,21.488871834228704,-4.050726901482838
I,202505,6F,0.15868287801158454,0.22432859399684044,-0.0656457159852559,15.868287801158454,22.432859399684045,-6.56457159852559
I,202506,5F,0.18121969184938544,0.15903197925669835,0.022187712592687092,18.121969184938543,15.903197925669835,2.218771259268709
I,202506,6F,0.1646072997887453,0.11299915038232795,0.05160814940641735,16.46072997887453,11.299915038232795,5.160814940641735
I,202507,5F,0.17488273697230453,0.20146222583265638,-0.026579488860351858,17.488273697230454,20.14622258326564,-2.657948886035186
I,202507,6F,0.16130191246758732,0.16134185303514376,-3.99405675564346e-05,16.13019124675873,16.134185303514375,-0.00399405675564346
I,202508,5F,0.17390363827482666,0.20911949685534592,-0.03521585858051926,17.390363827482666,20.91194968553459,-3.521585858051926
I,202508,6F,0.15906359201453774,0.19028974158183243,-0.031226149567294692,15.906359201453773,19.028974158183242,-3.1226149567294694
I,202509,5F,0.17564666693840503,0.19110690633869443,-0.0154602394002894,17.564666693840504,19.110690633869442,-1.54602394002894
I,202509,6F,0.16068214673199252,0.17298797409805736,-0.012305827366064837,16.06821467319925,17.298797409805736,-1.2305827366064837
I,202510,5F,0.18041429449087532,0.1448395490026019,0.03557474548827341,18.04142944908753,14.48395490026019,3.5574745488273414
I,202510,6F,0.164887528959447,0.1520068317677199,0.012880697191727103,16.4887528959447,15.200683176771989,1.2880697191727104
I,202511,5F,0.17945556276243368,0.15801704105344694,0.021438521708986746,17.94555627624337,15.801704105344694,2.1438521708986746
I,202511,6F,0.1662154375724995,0.15137254901960784,0.014842888552891675,16.621543757249952,15.137254901960784,1.4842888552891675
I,202512,5F,0.17366599921066378,0.20396366639141206,-0.030297667180748278,17.366599921066378,20.396366639141206,-3.0297667180748276
I,202512,6F,0.16156247715745134,0.1933115823817292,-0.031749105224277874,16.156247715745135,19.33115823817292,-3.1749105224277874
I,202601,5F,0.1789694931232204,0.15384615384615385,0.02512333927706656,17.896949312322043,15.384615384615385,2.512333927706656
I,202601,6F,0.16622453503899062,0.1263782866836302,0.039846248355360436,16.622453503899063,12.637828668363019,3.9846248355360436
I,202602,5F,0.18045844089361027,0.12324929971988796,0.057209141173722305,18.045844089361026,12.324929971988796,5.720914117372231
I,202602,6F,0.1676460221288223,0.10116731517509728,0.06647870695372501,16.76460221288223,10.116731517509727,6.647870695372501
I,202603,5F,0.17692244619100872,0.18606701940035272,-0.009144573209344004,17.692244619100872,18.606701940035272,-0.9144573209344004
I,202603,6F,0.16672095637181278,0.10494880546075085,0.06177215091106193,16.67209563718128,10.494880546075084,6.177215091106193
II,202504,5F,0.1515134406405794,0.2003069838833461,-0.04879354324276672,15.15134406405794,20.03069838833461,-4.8793543242766715
II,202504,6F,0.13130612444830808,0.19054878048780488,-0.0592426560394968,13.130612444830808,19.054878048780488,-5.92426560394968
II,202505,5F,0.15400258952858922,0.18649270913277052,-0.0324901196041813,15.400258952858922,18.649270913277054,-3.2490119604181302
II,202505,6F,0.13098877680326065,0.2156398104265403,-0.08465103362327964,13.098877680326066,21.563981042654028,-8.465103362327964
II,202506,5F,0.1592457991471358,0.1512532411408816,0.007992558006254202,15.92457991471358,15.12532411408816,0.7992558006254202
II,202506,6F,0.13639212697068342,0.09855564995751911,0.03783647701316431,13.639212697068343,9.855564995751912,3.783647701316431
II,202507,5F,0.15390975386932268,0.18359057676685622,-0.029680822897533543,15.390975386932269,18.359057676685623,-2.9680822897533545
II,202507,6F,0.1343011772489458,0.13338658146964857,0.0009145957792972281,13.430117724894581,13.338658146964857,0.09145957792972281
II,202508,5F,0.15396145346291454,0.18474842767295596,-0.030786974210041423,15.396145346291453,18.474842767295595,-3.0786974210041422
II,202508,6F,0.13334157264669805,0.14487079091620986,-0.01152921826951181,13.334157264669805,14.487079091620986,-1.152921826951181
II,202509,5F,0.1559877261616277,0.15137180700094607,0.004615919160681631,15.59877261616277,15.137180700094607,0.4615919160681631
II,202509,6F,0.13407242761114097,0.14061054579093432,-0.006538118179793356,13.407242761114096,14.061054579093431,-0.6538118179793356
II,202510,5F,0.15856535567834582,0.1396357328707719,0.018929622807573904,15.856535567834582,13.96357328707719,1.8929622807573905
II,202510,6F,0.1380810737376516,0.11699402220324509,0.021087051534406515,13.80810737376516,11.69940222032451,2.1087051534406513
II,202511,5F,0.1575408823500142,0.15027110766847404,0.007269774681540164,15.75408823500142,15.027110766847404,0.7269774681540164
II,202511,6F,0.13881851231327028,0.13098039215686275,0.00783812015640753,13.881851231327028,13.098039215686274,0.783812015640753
II,202512,5F,0.15121606154635353,0.19653179190751446,-0.04531573036116093,15.121606154635353,19.653179190751445,-4.531573036116093
II,202512,6F,0.1353238374765409,0.15171288743882544,-0.016389049962284546,13.53238374765409,15.171288743882544,-1.6389049962284545
II,202601,5F,0.15791719515757446,0.12955465587044535,0.028362539287129118,15.791719515757446,12.955465587044534,2.836253928712912
II,202601,6F,0.14011118513212917,0.08312128922815945,0.05698989590396972,14.011118513212917,8.312128922815946,5.698989590396971
II,202602,5F,0.15937102477074566,0.10644257703081232,0.05292844773993334,15.937102477074566,10.644257703081232,5.292844773993334
II,202602,6F,0.1410943550756269,0.06031128404669261,0.08078307102893428,14.10943550756269,6.031128404669261,8.078307102893428
II,202603,5F,0.1553546477006704,0.1693121693121693,-0.013957521611498908,15.535464770067039,16.93121693121693,-1.3957521611498906
II,202603,6F,0.13944901299193654,0.08532423208191127,0.054124780910025275,13.944901299193655,8.532423208191126,5.412478091002527
